,title,description,price,rating,reviews,discount,trainer,total_hours,total_lectures,level
95,Linux Command Line Basics,This is an introductory course to the Linux command Line. It's great for both Linux beginners and advanced Linux users.,Current price$14.99,Rating: 4.5 out of 5,"(19,194)",$89.99,Ahmed Alkabary,5 total hours,42 lectures,All Levels
96,The Complete Ethical Hacking Course: Beginner to Advanced!,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",Current price$17.99,Rating: 4.1 out of 5,"(28,341)",$99.99,"Ermin Kreponic, Aldin Omerdic",25 total hours,113 lectures,All Levels
97,AZ-303 Azure Architecture Technologies Exam Prep 2021,Prove your Azure Architect Technology skills to the world. Complete AZ-303 course. Update as of SEP 2021.,Current price$14.99,Rating: 4.5 out of 5,"(25,690)",$69.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,152 lectures,Intermediate
98,AZ-104 Microsoft Azure Administrator Exam Certification 2021,Prove your AZ-104 Microsoft Azure Administrator skills to the world. Updated as of SEP 2021.,Current price$14.99,Rating: 4.6 out of 5,"(25,341)",$39.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,162 lectures,Intermediate
99,CompTIA Security+ (SY0-601) Complete Course & Exam,CompTIA Security+ (SY0-601) Bootcamp - Your preparation for the world's best cybersecurity certification!,Current price$17.99,Rating: 4.7 out of 5,"(24,998)",$99.99,"Jason Dion • 600,000+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2",21.5 total hours,274 lectures,All Levels
100,CCNA 2020 200-125 Video Boot Camp With Chris Bryant,"Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!",Current price$14.99,Rating: 4.7 out of 5,"(24,753)",$19.99,Chris Bryant,62.5 total hours,467 lectures,Beginner
101,TOTAL: CompTIA Network+ Certification (N10-007),"Everything you need to pass the CompTIA Network+ Exam (N10-007) from Mike Meyers, CompTIA expert and bestselling author.",Current price$20.99,Rating: 4.7 out of 5,"(23,703)",$119.99,"Total Seminars • 750,000+ Enrollments, Mike Meyers",23 total hours,172 lectures,All Levels
102,Ansible for the Absolute Beginner - Hands-On - DevOps,This course introduces Ansible to the absolute beginner in DevOps. Practice Ansible with coding exercises in browser.,Current price$18.99,Rating: 4.6 out of 5,"(23,548)",$99.99,"Mumshad Mannambeth, KodeKloud Training",2.5 total hours,32 lectures,Beginner
103,[NEW] Complete Salesforce Administrator Certification Course,Updated August 2021 - Aligns with Latest Salesforce Exam - 60 Question Salesforce Practice Test Included!,Current price$17.99,Rating: 4.6 out of 5,"(23,016)",$99.99,"Mike Wheeler, Aaron Wheeler, Evan Wheeler, Zeke Wheeler",32 total hours,380 lectures,All Levels
104,AWS Certified Solutions Architect Associate Practice Exams,Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests with new SAA-C02 topics!,Current price$14.99,Rating: 4.6 out of 5,"(21,882)",$29.99,"Jon Bonso | AWS Solutions Architect,AWS Certified Cloud Practitioner, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer",,,All Levels
105,Information Security Awareness-ISO 27001:2013,Information Security Literate-Cyber security awareness course,Current price$17.99,Rating: 4.5 out of 5,"(21,512)",$74.99,infySEC Global,1 total hour,39 lectures,All Levels
106,The Absolute Beginners Guide to Cyber Security 2021 - Part 1,"Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD & more",Current price$21.99,Rating: 4.6 out of 5,"(20,207)",$99.99,Alexander Oni,4 total hours,58 lectures,Beginner
107,Cisco CCNA 200-301 Exam: Complete Course with practical labs,The complete course to help you prepare and pass Cisco's newest CCNA 200-301 exam. Everything you need: Theory and labs,Current price$14.99,Rating: 4.7 out of 5,"(19,873)",$19.99,David Bombal,79 total hours,687 lectures,Beginner
108,AWS Certified Cloud Practitioner: 6 Full Practice Exams 2021,Pass your AWS Certified Cloud Practitioner CLF-C01 exam! 6 NEW AWS Certified Cloud Practitioner Practice Exams!,Current price$14.99,Rating: 4.6 out of 5,"(19,779)",$49.99,Mozdora Education,,,All Levels
109,Spring Framework Master Class - Java Spring the Modern Way,"Learn the magic of Java Spring Framework with Spring Boot, Spring JDBC, Spring AOP, Hibernate, JUnit & Mockito",Current price$21.99,Rating: 4.4 out of 5,"(19,715)",$129.99,in28Minutes Official,12 total hours,138 lectures,All Levels
110,Amazon Web Services (AWS) Certified - 4 Certifications!,"Videos, labs & practice exams - AWS Certified (Solutions Architect, Developer, SysOps Administrator, Cloud Practitioner)",Current price$14.99,Rating: 4.5 out of 5,"(19,203)",$89.99,"BackSpace Academy, Paul Coady",44.5 total hours,194 lectures,All Levels
111,Linux Command Line Basics,This is an introductory course to the Linux command Line. It's great for both Linux beginners and advanced Linux users.,Current price$14.99,Rating: 4.5 out of 5,"(19,194)",$89.99,Ahmed Alkabary,5 total hours,42 lectures,All Levels
112,The Complete Ethical Hacking Course: Beginner to Advanced!,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",Current price$17.99,Rating: 4.1 out of 5,"(28,341)",$99.99,"Ermin Kreponic, Aldin Omerdic",25 total hours,113 lectures,All Levels
113,AZ-303 Azure Architecture Technologies Exam Prep 2021,Prove your Azure Architect Technology skills to the world. Complete AZ-303 course. Update as of SEP 2021.,Current price$14.99,Rating: 4.5 out of 5,"(25,690)",$69.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,152 lectures,Intermediate
114,AZ-104 Microsoft Azure Administrator Exam Certification 2021,Prove your AZ-104 Microsoft Azure Administrator skills to the world. Updated as of SEP 2021.,Current price$14.99,Rating: 4.6 out of 5,"(25,341)",$39.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,162 lectures,Intermediate
115,CompTIA Security+ (SY0-601) Complete Course & Exam,CompTIA Security+ (SY0-601) Bootcamp - Your preparation for the world's best cybersecurity certification!,Current price$17.99,Rating: 4.7 out of 5,"(24,998)",$99.99,"Jason Dion • 600,000+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2",21.5 total hours,274 lectures,All Levels
116,CCNA 2020 200-125 Video Boot Camp With Chris Bryant,"Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!",Current price$14.99,Rating: 4.7 out of 5,"(24,753)",$19.99,Chris Bryant,62.5 total hours,467 lectures,Beginner
117,TOTAL: CompTIA Network+ Certification (N10-007),"Everything you need to pass the CompTIA Network+ Exam (N10-007) from Mike Meyers, CompTIA expert and bestselling author.",Current price$20.99,Rating: 4.7 out of 5,"(23,703)",$119.99,"Total Seminars • 750,000+ Enrollments, Mike Meyers",23 total hours,172 lectures,All Levels
118,Ansible for the Absolute Beginner - Hands-On - DevOps,This course introduces Ansible to the absolute beginner in DevOps. Practice Ansible with coding exercises in browser.,Current price$18.99,Rating: 4.6 out of 5,"(23,548)",$99.99,"Mumshad Mannambeth, KodeKloud Training",2.5 total hours,32 lectures,Beginner
119,[NEW] Complete Salesforce Administrator Certification Course,Updated August 2021 - Aligns with Latest Salesforce Exam - 60 Question Salesforce Practice Test Included!,Current price$17.99,Rating: 4.6 out of 5,"(23,016)",$99.99,"Mike Wheeler, Aaron Wheeler, Evan Wheeler, Zeke Wheeler",32 total hours,380 lectures,All Levels
120,AWS Certified Solutions Architect Associate Practice Exams,Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests with new SAA-C02 topics!,Current price$14.99,Rating: 4.6 out of 5,"(21,882)",$29.99,"Jon Bonso | AWS Solutions Architect,AWS Certified Cloud Practitioner, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer",,,All Levels
121,Information Security Awareness-ISO 27001:2013,Information Security Literate-Cyber security awareness course,Current price$17.99,Rating: 4.5 out of 5,"(21,512)",$74.99,infySEC Global,1 total hour,39 lectures,All Levels
122,The Absolute Beginners Guide to Cyber Security 2021 - Part 1,"Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD & more",Current price$21.99,Rating: 4.6 out of 5,"(20,207)",$99.99,Alexander Oni,4 total hours,58 lectures,Beginner
123,Cisco CCNA 200-301 Exam: Complete Course with practical labs,The complete course to help you prepare and pass Cisco's newest CCNA 200-301 exam. Everything you need: Theory and labs,Current price$14.99,Rating: 4.7 out of 5,"(19,873)",$19.99,David Bombal,79 total hours,687 lectures,Beginner
124,AWS Certified Cloud Practitioner: 6 Full Practice Exams 2021,Pass your AWS Certified Cloud Practitioner CLF-C01 exam! 6 NEW AWS Certified Cloud Practitioner Practice Exams!,Current price$14.99,Rating: 4.6 out of 5,"(19,779)",$49.99,Mozdora Education,,,All Levels
125,Spring Framework Master Class - Java Spring the Modern Way,"Learn the magic of Java Spring Framework with Spring Boot, Spring JDBC, Spring AOP, Hibernate, JUnit & Mockito",Current price$21.99,Rating: 4.4 out of 5,"(19,715)",$129.99,in28Minutes Official,12 total hours,138 lectures,All Levels
126,Amazon Web Services (AWS) Certified - 4 Certifications!,"Videos, labs & practice exams - AWS Certified (Solutions Architect, Developer, SysOps Administrator, Cloud Practitioner)",Current price$14.99,Rating: 4.5 out of 5,"(19,203)",$89.99,"BackSpace Academy, Paul Coady",44.5 total hours,194 lectures,All Levels
127,Linux Command Line Basics,This is an introductory course to the Linux command Line. It's great for both Linux beginners and advanced Linux users.,Current price$14.99,Rating: 4.5 out of 5,"(19,194)",$89.99,Ahmed Alkabary,5 total hours,42 lectures,All Levels
128,The Complete Ethical Hacking Course: Beginner to Advanced!,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",Current price$17.99,Rating: 4.1 out of 5,"(28,341)",$99.99,"Ermin Kreponic, Aldin Omerdic",25 total hours,113 lectures,All Levels
129,AZ-303 Azure Architecture Technologies Exam Prep 2021,Prove your Azure Architect Technology skills to the world. Complete AZ-303 course. Update as of SEP 2021.,Current price$14.99,Rating: 4.5 out of 5,"(25,690)",$69.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,152 lectures,Intermediate
130,AZ-104 Microsoft Azure Administrator Exam Certification 2021,Prove your AZ-104 Microsoft Azure Administrator skills to the world. Updated as of SEP 2021.,Current price$14.99,Rating: 4.6 out of 5,"(25,341)",$39.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,162 lectures,Intermediate
131,CompTIA Security+ (SY0-601) Complete Course & Exam,CompTIA Security+ (SY0-601) Bootcamp - Your preparation for the world's best cybersecurity certification!,Current price$17.99,Rating: 4.7 out of 5,"(24,998)",$99.99,"Jason Dion • 600,000+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2",21.5 total hours,274 lectures,All Levels
132,CCNA 2020 200-125 Video Boot Camp With Chris Bryant,"Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!",Current price$14.99,Rating: 4.7 out of 5,"(24,753)",$19.99,Chris Bryant,62.5 total hours,467 lectures,Beginner
133,TOTAL: CompTIA Network+ Certification (N10-007),"Everything you need to pass the CompTIA Network+ Exam (N10-007) from Mike Meyers, CompTIA expert and bestselling author.",Current price$20.99,Rating: 4.7 out of 5,"(23,703)",$119.99,"Total Seminars • 750,000+ Enrollments, Mike Meyers",23 total hours,172 lectures,All Levels
134,Ansible for the Absolute Beginner - Hands-On - DevOps,This course introduces Ansible to the absolute beginner in DevOps. Practice Ansible with coding exercises in browser.,Current price$18.99,Rating: 4.6 out of 5,"(23,548)",$99.99,"Mumshad Mannambeth, KodeKloud Training",2.5 total hours,32 lectures,Beginner
135,[NEW] Complete Salesforce Administrator Certification Course,Updated August 2021 - Aligns with Latest Salesforce Exam - 60 Question Salesforce Practice Test Included!,Current price$17.99,Rating: 4.6 out of 5,"(23,016)",$99.99,"Mike Wheeler, Aaron Wheeler, Evan Wheeler, Zeke Wheeler",32 total hours,380 lectures,All Levels
136,AWS Certified Solutions Architect Associate Practice Exams,Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests with new SAA-C02 topics!,Current price$14.99,Rating: 4.6 out of 5,"(21,882)",$29.99,"Jon Bonso | AWS Solutions Architect,AWS Certified Cloud Practitioner, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer",,,All Levels
137,Information Security Awareness-ISO 27001:2013,Information Security Literate-Cyber security awareness course,Current price$17.99,Rating: 4.5 out of 5,"(21,512)",$74.99,infySEC Global,1 total hour,39 lectures,All Levels
138,The Absolute Beginners Guide to Cyber Security 2021 - Part 1,"Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD & more",Current price$21.99,Rating: 4.6 out of 5,"(20,207)",$99.99,Alexander Oni,4 total hours,58 lectures,Beginner
139,Cisco CCNA 200-301 Exam: Complete Course with practical labs,The complete course to help you prepare and pass Cisco's newest CCNA 200-301 exam. Everything you need: Theory and labs,Current price$14.99,Rating: 4.7 out of 5,"(19,873)",$19.99,David Bombal,79 total hours,687 lectures,Beginner
140,AWS Certified Cloud Practitioner: 6 Full Practice Exams 2021,Pass your AWS Certified Cloud Practitioner CLF-C01 exam! 6 NEW AWS Certified Cloud Practitioner Practice Exams!,Current price$14.99,Rating: 4.6 out of 5,"(19,779)",$49.99,Mozdora Education,,,All Levels
141,Spring Framework Master Class - Java Spring the Modern Way,"Learn the magic of Java Spring Framework with Spring Boot, Spring JDBC, Spring AOP, Hibernate, JUnit & Mockito",Current price$21.99,Rating: 4.4 out of 5,"(19,715)",$129.99,in28Minutes Official,12 total hours,138 lectures,All Levels
142,Amazon Web Services (AWS) Certified - 4 Certifications!,"Videos, labs & practice exams - AWS Certified (Solutions Architect, Developer, SysOps Administrator, Cloud Practitioner)",Current price$14.99,Rating: 4.5 out of 5,"(19,203)",$89.99,"BackSpace Academy, Paul Coady",44.5 total hours,194 lectures,All Levels
143,Linux Command Line Basics,This is an introductory course to the Linux command Line. It's great for both Linux beginners and advanced Linux users.,Current price$14.99,Rating: 4.5 out of 5,"(19,194)",$89.99,Ahmed Alkabary,5 total hours,42 lectures,All Levels
144,The Complete Ethical Hacking Course: Beginner to Advanced!,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",Current price$17.99,Rating: 4.1 out of 5,"(28,341)",$99.99,"Ermin Kreponic, Aldin Omerdic",25 total hours,113 lectures,All Levels
145,AZ-303 Azure Architecture Technologies Exam Prep 2021,Prove your Azure Architect Technology skills to the world. Complete AZ-303 course. Update as of SEP 2021.,Current price$14.99,Rating: 4.5 out of 5,"(25,690)",$69.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,152 lectures,Intermediate
146,AZ-104 Microsoft Azure Administrator Exam Certification 2021,Prove your AZ-104 Microsoft Azure Administrator skills to the world. Updated as of SEP 2021.,Current price$14.99,Rating: 4.6 out of 5,"(25,341)",$39.99,"Scott Duffy  • 550.000+ Students, Software Architect.ca",12.5 total hours,162 lectures,Intermediate
